agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Chicago Police Department,event,chi_police/201812271830/25/2514_beat_meeting,2514 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-12-27 18:30,2018-12-27 19:30,America/Chicago,confirmed,0,N/A,N/A,St. Ferdinand's 3115 N Mason,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812261830/14/1423_beat_meeting,1423 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 14",2018-12-26 18:30,2018-12-26 19:30,America/Chicago,confirmed,0,N/A,N/A,1343 N. California - Casa Central,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812261800/25/2534_beat_meeting,2534 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-12-26 18:00,2018-12-26 19:00,America/Chicago,confirmed,0,N/A,N/A,North Grand H.S. 4338 W Wabansia ,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812201900/20/2024_beat_meeting,2024 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-12-20 19:00,2018-12-20 20:00,America/Chicago,confirmed,0,N/A,N/A,Margate Field House 4921 N. Marine Dr.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812201900/25/2524_beat_meeting,2524 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-12-20 19:00,2018-12-20 20:00,America/Chicago,confirmed,0,N/A,N/A,Kosciuszko Park - 2732 N. Avers - 2nd Fl Room A,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812201830/14/1422_beat_meeting,1422 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 14",2018-12-20 18:30,2018-12-20 19:30,America/Chicago,confirmed,0,N/A,N/A,1402 N. Kedzie - The Habitat,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812191900/20/2013_beat_meeting,2013 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-12-19 19:00,2018-12-19 20:00,America/Chicago,confirmed,0,N/A,N/A,Philadelphia Church 5437 N. Clark St.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812181900/24/2423_community_beat_meeting,2423 Community Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 24",2018-12-18 19:00,2018-12-18 20:00,America/Chicago,confirmed,0,N/A,N/A,"Touhy Park 7348 N. Paulina  Chicago,IL.",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812181900/8/811_beat_meeting,811 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-18 19:00,2018-12-18 20:00,America/Chicago,confirmed,0,N/A,N/A,Good Shepherd - 5550 S. Merrimac Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812131900/8/814_beat_meeting,814 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-13 19:00,2018-12-13 20:00,America/Chicago,confirmed,0,N/A,N/A,Vittum Park Fieldhouse - 5010 W. 50th Street,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
