agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Public Building Commission of Chicago,event,chi_buildings/201803131430/x/board_meeting_march_13_2018,"Board Meeting – March 13, 2018",N/A,Board Meeting,2018-03-13 14:30,2018-03-13 15:30,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/board-meeting-march-13-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201804041300/x/administrative_operations_committee_meeting_april_4_2018,"Administrative Operations Committee Meeting – April 4, 2018",N/A,Admin Opp Committee Meeting,2018-04-04 13:00,2018-04-04 14:00,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/administrative-operations-committee-meeting-march-29-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201804101430/x/board_meeting_april_10_2018,"Board Meeting – April 10, 2018",N/A,Board Meeting,2018-04-10 14:30,2018-04-10 15:30,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/board-meeting-april-10-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201804261300/x/administrative_operations_committee_meeting_april_26_2018,"Administrative Operations Committee Meeting – April 26, 2018",N/A,Admin Opp Committee Meeting,2018-04-26 13:00,2018-04-26 14:00,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/administrative-operations-committee-meeting-april-26-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201805081430/x/board_meeting_may_8_2018,"Board Meeting – May 8, 2018",N/A,Board Meeting,2018-05-08 14:30,2018-05-08 15:30,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/board-meeting-may-8-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201805311300/x/administrative_operations_committee_meeting_may_31_2018,"Administrative Operations Committee Meeting – May 31, 2018",N/A,Admin Opp Committee Meeting,2018-05-31 13:00,2018-05-31 14:00,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/administrative-operations-committee-meeting-may-31-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201806121430/x/board_meeting_june_12_2018,"Board Meeting – June 12, 2018",N/A,Board Meeting,2018-06-12 14:30,2018-06-12 15:30,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/board-meeting-june-12-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201806281300/x/administrative_operations_committee_meeting_june_28_2018,"Administrative Operations Committee Meeting – June 28, 2018",N/A,Admin Opp Committee Meeting,2018-06-28 13:00,2018-06-28 14:00,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/administrative-operations-committee-meeting-june-28-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201807101430/x/board_meeting_july_10_2018,"Board Meeting – July 10, 2018",N/A,Board Meeting,2018-07-10 14:30,2018-07-10 15:30,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/board-meeting-july-10-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201808021300/x/administrative_operations_committee_meeting_august_2_2018,"Administrative Operations Committee Meeting – August 2, 2018",N/A,Admin Opp Committee Meeting,2018-08-02 13:00,2018-08-02 14:00,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/administrative-operations-committee-meeting-august-2-2018/,N/A,2018-03-12 19:48
Public Building Commission of Chicago,event,chi_buildings/201808141430/x/board_meeting_august_14_2018,"Board Meeting – August 14, 2018",N/A,Board Meeting,2018-08-14 14:30,2018-08-14 15:30,America/Chicago,tentative,0,"Second Floor Board Room, Richard J. Daley Center",https://thedaleycenter.com,"50 W. Washington Street Chicago, IL 60602",http://www.pbcchicago.com/events/event/board-meeting-august-14-2018/,N/A,2018-03-12 19:48
