agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Illinois Department of Public Health,event,il_pubhealth/201803271000/17511/rare_diseases_commission,Rare Diseases Commission,"CONFERENCE ROOMS
69 West Washington St., 35th Floor, Room 2/3,
535 W. Jefferson St., OHPm Conference Room 2nd Floor, Springfield
Dial-in 1-888-494-4032; Access Code:  6749670741
Interested persons may contact the Office of Health Promotion at 217-785-4093 for information",Not classified,2018-03-27 10:00,2018-03-27 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201803271330/17671/plumbing_examiners_board,Plumbing Examiners Board,"Springfield Plumbers & Steamfitters
2880 E. Cook Street
Springfield, IL 62703",Not classified,2018-03-27 13:30,2018-03-27 14:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201803281200/17726/levels_of_care_transfers,Levels of Care: Transfers,"CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-03-28 12:00,2018-03-28 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804040800/18031/critical_issues_2018,Critical Issues 2018,"Hyatt Regency Schaumburg
1800 East Golf Road
Schaumburg, IL 60073
Contact IDPH at (217) 524-5992 with any questions.",Not classified,2018-04-04 08:00,2018-04-04 15:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804101030/16811/end_stage_renal_disease_advisory_board,End Stage Renal Disease Advisory Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-04-10 10:30,2018-04-10 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804111030/16911/home_health_home_services_and_home_nursing_advisory_board,"Home Health, Home Services and Home Nursing Advisory Board  ","VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
#22 Kettle River Dr., Edwardsville, IL
2309 W. Main St., Marion, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-04-11 10:30,2018-04-11 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804120830/17776/levels_of_care_designation_redesignation_and_change_of_network,"Levels of Care: Designation, Redesignation, and Change of Network","CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-04-12 08:30,2018-04-12 09:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804130800/18036/critical_issues_2018,Critical Issues 2018,"Erin’s Pavilion/Southwind Park
4965 South Second Street
Springfield, IL 62703
Contact IDPH at (217) 524-5992 with any questions.",Not classified,2018-04-13 08:00,2018-04-13 15:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804180900/17981/oasis_education_session,OASIS Education Session ,"James R. Thompson Center (JRTC)
JRTC Conf Room
100 W. Randolph Street
Chicago, IL  60601
9:00 a.m. – 4:00 p.m.
Must have a valid state ID to enter the Building.
Interested persons may contact Carol Phillips in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at
.",Not classified,2018-04-18 09:00,2018-04-19 16:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804191030/17336/ems_advisory_council_meeting,EMS Advisory Council Meeting,"Memorial Medical Center, Center for Learning and Innovation – (face-to-face/videoconference)
Springfield
AND VIA VIDEOCONFERENCE AT:
IDPH Champaign Regional Office, Room B, 2125 S. First St., Champaign, IL 61820
IDPH Edwardsville Regional Office, 22 Kettle River Dr., Glen Carbon, IL 62034
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Peoria Regional Office, 5415 N. University, Peoria, IL 61614
IDPH Rockford Regional Office, 4302 N. Main St., Rockford, IL 61103
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201
Interested persons may contact the Division of EMS and Highway Safety at 217-785-2080.",Not classified,2018-04-19 10:30,2018-04-19 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events,N/A,2018-03-26 19:16
